t1,t2
1625045672.375670970,1625045672.377894383
1625045674.376208430,1625045674.378455135
1625045676.375796030,1625045676.378066035
1625045678.376353850,1625045678.378647144
1625045680.375841250,1625045680.378157841
1625045682.376361990,1625045682.378701879
1625045684.376039770,1625045684.378402944
1625045686.375913850,1625045686.378300266
1625045688.375697250,1625045688.378106954
1625045690.375519410,1625045690.377952386
1625045692.376451170,1625045692.378907428
1625045694.377306170,1625045694.379785716
1625045696.377058650,1625045696.379561409
1625045698.376917590,1625045698.379443555
1625045700.376669530,1625045700.379218746
1625045702.377428050,1625045702.380000538
1625045704.378172110,1625045704.380767833
1625045706.377883630,1625045706.380502540
1625045708.377632750,1625045708.380274843
1625045710.378433250,1625045710.381098589
1625045712.379096870,1625045712.381785419
1625045714.378987430,1625045714.381699206
1625045716.379404910,1625045716.382139921
1625045718.380257990,1625045718.383016245
1625045720.380046010,1625045720.382827505
1625045722.379606370,1625045722.382411141
1625045724.380258370,1625045724.383086429
1625045726.379950170,1625045726.382801505
1625045728.379686110,1625045728.382560676
1625045730.379527810,1625045730.382425609
1625045732.380215430,1625045732.383136436
1625045734.379974290,1625045734.382918496
1625045736.379846010,1625045736.382813398
1625045738.380347290,1625045738.383337898
1625045740.379790910,1625045740.382804708
1625045742.379784730,1625045742.382821753
1625045744.380413850,1625045744.383474143
1625045746.381206530,1625045746.384290111
1625045748.381452450,1625045748.384559353
1625045750.382292850,1625045750.385423083
1625045752.381978110,1625045752.385131691
1625045754.381739610,1625045754.384916536
1625045756.381507750,1625045756.384707941
1625045758.382179930,1625045758.385403435
1625045760.381917050,1625045760.385163853
1625045762.381759630,1625045762.385029700
1625045764.381509550,1625045764.384802829
1625045766.382303510,1625045766.385620045
1625045768.382071030,1625045768.385410781
1625045770.381802790,1625045770.385165790
1625045772.382411550,1625045772.385797795
1625045774.383244510,1625045774.386654010
1625045776.383043990,1625045776.386476736
1625045778.382929950,1625045778.386385909
1625045780.383297370,1625045780.386776591
1625045782.383091690,1625045782.386594134
1625045784.382860610,1625045784.386386283
1625045786.382612730,1625045786.386161645
1625045788.383422550,1625045788.386994719
1625045790.384199410,1625045790.387794869
1625045792.383960470,1625045792.387579199
1625045794.383766410,1625045794.387408418
1625045796.383506530,1625045796.387171839
1625045798.384198910,1625045798.387887479
1625045800.383933690,1625045800.387645459
1625045802.383621250,1625045802.387356248
1625045804.384399450,1625045804.388157691
1625045806.385150670,1625045806.388932144
1625045808.384885170,1625045808.388689881
1625045810.384704890,1625045810.388532840
1625045812.384768730,1625045812.388619965
1625045814.384546350,1625045814.388420851
1625045816.385356410,1625045816.389254188
1625045818.385160910,1625045818.389081954
1625045820.385001430,1625045820.388945795
1625045822.384841930,1625045822.388809598
1625045824.384672710,1625045824.388663705
1625045826.384645330,1625045826.388659669
1625045828.385428890,1625045828.389466560
1625045830.386237670,1625045830.390298659
1625045832.385905750,1625045832.389990030
1625045834.385680790,1625045834.389788330
1625045836.386378730,1625045836.390509505
1625045838.387165730,1625045838.391319716
1625045840.386858010,1625045840.391035178
1625045842.386821290,1625045842.391021693
1625045844.387272550,1625045844.391496184
1625045846.387115750,1625045846.391362636
1625045848.386885890,1625045848.391155998
1625045850.386751190,1625045850.391044538
1625045852.387050130,1625045852.391366733
1625045854.386885910,1625045854.391225790
1625045856.386742970,1625045856.391106135
1625045858.386692330,1625045858.391078798
1625045860.386508970,1625045860.390918700
1625045862.387354170,1625045862.391787128
1625045864.387184770,1625045864.391640940
1625045866.387021390,1625045866.391500794
1625045868.386762170,1625045868.391264806
1625045870.386587570,1625045870.391113453
1625045872.387406210,1625045872.391955384
1625045874.388281750,1625045874.392854249
1625045876.387628510,1625045876.392224271
1625045878.388428810,1625045878.393047898
1625045880.389273590,1625045880.393915971
1625045882.389121630,1625045882.393787243
1625045884.388967090,1625045884.393655910
1625045886.388803430,1625045886.393515450
1625045888.388586970,1625045888.393322144
1625045890.388488270,1625045890.393246634
1625045892.389245230,1625045892.394026835
