t1,t2
1620370370:899891169,1620370370:899870970
1620370371:899989969,1620370371:899981596
1620370372:899984469,1620370372:899987895
1620370373:899960729,1620370373:899975957
1620370374:899974589,1620370374:900001627
1620370375:900439969,1620370375:900478806
1620370376:900047049,1620370376:900097658
1620370377:900010029,1620370377:900068560
1620370378:900041309,1620370378:900100755
1620370379:900399229,1620370379:900452577
1620370380:899997869,1620370380:900039515
1620370381:900050589,1620370381:900080032
1620370382:900080189,1620370382:900097433
1620370383:900060029,1620370383:900065085
1620370384:900085729,1620370384:900078596
1620370385:900114629,1620370385:900095318
1620370386:900178629,1620370386:900147116
1620370387:900101049,1620370387:900057351
1620370388:900579489,1620370388:900523595
1620370389:901091809,1620370389:901023736
1620370390:901111089,1620370390:901030801
1620370391:901134829,1620370391:901042345
1620370392:901022729,1620370392:900918061
1620370393:901146569,1620370393:901029722
1620370394:901137589,1620370394:901008536
1620370395:901597689,1620370395:901456445
1620370396:902171769,1620370396:902022237
1620370397:902151329,1620370397:902000505
1620370398:902418149,1620370398:902273045
1620370399:902135589,1620370399:902001815
1620370400:902184689,1620370400:902062723
1620370401:902202029,1620370401:902091881
1620370402:902199849,1620370402:902101500
1620370403:902413029,1620370403:902326483
1620370404:902261769,1620370404:902187017
1620370405:902185689,1620370405:902122736
1620370406:902288829,1620370406:902237676
1620370407:902212609,1620370407:902173261
1620370408:902263409,1620370408:902235863
1620370409:902241229,1620370409:902225491
1620370410:901742369,1620370410:901738442
1620370411:902207649,1620370411:902215512
1620370412:902316669,1620370412:902336341
1620370413:902282829,1620370413:902314303
1620370414:902324429,1620370414:902367718
1620370415:902333909,1620370415:902385121
1620370416:902309409,1620370416:902361521
1620370417:902346269,1620370417:902392301
1620370418:902422389,1620370418:902456716
1620370419:902361689,1620370419:902383811
1620370420:902350669,1620370420:902360603
1620370421:902322189,1620370421:902319926
1620370422:902392469,1620370422:902378025
1620370423:902413369,1620370423:902386728
1620370424:902360829,1620370424:902321997
1620370425:902287209,1620370425:902236170
1620370426:902391929,1620370426:902328696
1620370427:902322409,1620370427:902246983
1620370428:902411529,1620370428:902323895
1620370429:902414109,1620370429:902314271
1620370430:902436089,1620370430:902324040
1620370431:901776929,1620370431:901652693
1620370432:902390989,1620370432:902254506
1620370433:902432909,1620370433:902284203
1620370434:902480289,1620370434:902323261
1620370435:902463209,1620370435:902304881
1620370436:902419089,1620370436:902266435
1620370437:902502349,1620370437:902361002
1620370438:901831609,1620370438:901702046
1620370439:901799049,1620370439:901681266
1620370440:901796569,1620370440:901690568
1620370441:902559069,1620370441:902464843
1620370442:902597809,1620370442:902515357
1620370443:903563229,1620370443:903492577
1620370444:904571949,1620370444:904513068
1620370445:905594149,1620370445:905547083
1620370446:906592449,1620370446:906557187
1620370447:907232989,1620370447:907209531
1620370448:906648289,1620370448:906636605
1620370449:907602969,1620370449:907603047
1620370450:908610969,1620370450:908622832
1620370451:908722009,1620370451:908745638
1620370452:908682589,1620370452:908717997
1620370453:908640189,1620370453:908684302
1620370454:908657229,1620370454:908703055
1620370455:908771869,1620370455:908812427
1620370456:908623369,1620370456:908652541
1620370457:908780969,1620370457:908797933
1620370458:908634509,1620370458:908639255
1620370459:908741869,1620370459:908734403
1620370460:908818949,1620370460:908799290
1620370461:908870749,1620370461:908838872
1620370462:908754809,1620370462:908710733
1620370463:908784969,1620370463:908728678
1620370464:908775009,1620370464:908706510
1620370465:908729429,1620370465:908648716
1620370466:908689269,1620370466:908596352
1620370467:908825729,1620370467:908720602
1620370468:908820049,1620370468:908702697
1620370469:908759869,1620370469:908630288
