t1,t2
1625002423.110386741,1625002423.110386918
1625002424.110127321,1625002424.110127504
1625002425.110144041,1625002425.110144214
1625002426.110167381,1625002426.110167572
1625002427.110187581,1625002427.110187768
1625002428.110120221,1625002428.110120407
1625002429.110436041,1625002429.110436224
1625002430.110094061,1625002430.110094259
1625002431.110375261,1625002431.110375448
1625002432.110293861,1625002432.110294054
1625002433.110587501,1625002433.110587679
1625002434.111352541,1625002434.111352733
1625002435.111382721,1625002435.111382912
1625002436.111394241,1625002436.111394437
1625002437.111390261,1625002437.111390452
1625002438.110648521,1625002438.110648716
1625002439.111300741,1625002439.111300933
1625002440.111259861,1625002440.111260041
1625002441.111650221,1625002441.111650409
1625002442.112585961,1625002442.112586141
1625002443.113463161,1625002443.113463346
1625002444.113472381,1625002444.113472582
1625002445.113629401,1625002445.113629573
1625002446.114488841,1625002446.114489047
1625002447.114531301,1625002447.114531496
1625002448.114517801,1625002448.114517993
1625002449.114578261,1625002449.114578448
1625002450.114626261,1625002450.114626454
1625002451.115575401,1625002451.115575603
1625002452.114873561,1625002452.114873744
1625002453.114984141,1625002453.114984344
1625002454.115599261,1625002454.115599453
1625002455.116554121,1625002455.116554307
1625002456.116628681,1625002456.116628886
1625002457.116775841,1625002457.116776032
1625002458.116826021,1625002458.116826226
1625002459.116740721,1625002459.116740911
1625002460.116791641,1625002460.116791846
1625002461.117433661,1625002461.117433852
1625002462.116772341,1625002462.116772536
1625002463.116732481,1625002463.116732674
1625002464.116853641,1625002464.116853844
1625002465.116866321,1625002465.116866508
1625002466.116791801,1625002466.116792007
1625002467.116848881,1625002467.116849062
1625002468.116919621,1625002468.116919831
1625002469.117188541,1625002469.117188737
1625002470.117098321,1625002470.117098528
1625002471.116869681,1625002471.116869883
1625002472.116932561,1625002472.116932769
1625002473.116924961,1625002473.116925169
1625002474.116867521,1625002474.116867714
1625002475.116964841,1625002475.116965041
1625002476.116982681,1625002476.116982879
1625002477.116993661,1625002477.116993859
1625002478.117036261,1625002478.117036472
1625002479.117019161,1625002479.117019363
1625002480.117050461,1625002480.117050672
1625002481.117045721,1625002481.117045909
1625002482.117385441,1625002482.117385656
1625002483.117062761,1625002483.117062946
1625002484.117115361,1625002484.117115574
1625002485.117402901,1625002485.117403099
1625002486.117144101,1625002486.117144307
1625002487.117148401,1625002487.117148603
1625002488.117206501,1625002488.117206704
1625002489.117498421,1625002489.117498624
1625002490.117153581,1625002490.117153788
1625002491.117253441,1625002491.117253643
1625002492.117206661,1625002492.117206869
1625002493.117302081,1625002493.117302272
1625002494.117241161,1625002494.117241366
1625002495.117318841,1625002495.117319053
1625002496.117228201,1625002496.117228398
1625002497.117500001,1625002497.117500214
1625002498.117370621,1625002498.117370822
1625002499.117383141,1625002499.117383344
1625002500.117506601,1625002500.117506797
1625002501.117310001,1625002501.117310197
1625002502.117564501,1625002502.117564713
1625002503.117444121,1625002503.117444331
1625002504.117382641,1625002504.117382856
1625002505.116887721,1625002505.116887933
1625002506.117429941,1625002506.117430134
1625002507.117500621,1625002507.117500834
1625002508.117470921,1625002508.117471124
1625002509.117471901,1625002509.117472106
1625002510.117500541,1625002510.117500754
1625002511.117501481,1625002511.117501693
1625002512.117629241,1625002512.117629448
1625002513.118552181,1625002513.118552388
1625002514.118627401,1625002514.118627607
1625002515.119623741,1625002515.119623944
1625002516.120606021,1625002516.120606234
1625002517.121585581,1625002517.121585789
1625002518.121967941,1625002518.121968148
1625002519.121728941,1625002519.121729134
1625002520.121715061,1625002520.121715261
1625002521.121772521,1625002521.121772732
1625002522.121735581,1625002522.121735778
1625002523.121822381,1625002523.121822596
1625002524.121855821,1625002524.121856036
1625002525.121759461,1625002525.121759667
1625002526.121666341,1625002526.121666557
1625002527.122635401,1625002527.122635602
1625002528.122670901,1625002528.122671127
1625002529.122857281,1625002529.122857481
1625002530.122714661,1625002530.122714876
1625002531.122743781,1625002531.122743988
1625002532.122799141,1625002532.122799361
1625002533.122813441,1625002533.122813649
1625002534.122773501,1625002534.122773714
1625002535.123378481,1625002535.123378688
1625002536.122820501,1625002536.122820714
1625002537.123109601,1625002537.123109822
1625002538.122851741,1625002538.122851959
1625002539.122864801,1625002539.122865024
1625002540.123117721,1625002540.123117937
1625002541.122860701,1625002541.122860911
1625002542.122939181,1625002542.122939407
1625002543.123043741,1625002543.123043939
1625002544.122922081,1625002544.122922317
1625002545.122947081,1625002545.122947282
1625002546.122944461,1625002546.122944696
1625002547.123066121,1625002547.123066337
1625002548.123071561,1625002548.123071789
1625002549.123090841,1625002549.123091067
1625002550.123113181,1625002550.123113397
1625002551.123339481,1625002551.123339708
1625002552.123041561,1625002552.123041791
1625002553.123202161,1625002553.123202393
1625002554.123104381,1625002554.123104599
1625002555.123456821,1625002555.123457054
1625002556.123078081,1625002556.123078298
1625002557.123194961,1625002557.123195193
1625002558.123211761,1625002558.123211969
1625002559.123530441,1625002559.123530668
1625002560.123183301,1625002560.123183513
1625002561.123236761,1625002561.123236986
1625002562.123231721,1625002562.123231943
1625002563.122848221,1625002563.122848438
1625002564.123231541,1625002564.123231763
1625002565.123264621,1625002565.123264831
1625002566.123214921,1625002566.123215148
1625002567.123280541,1625002567.123280759
1625002568.123257921,1625002568.123258143
1625002569.123363261,1625002569.123363473
1625002570.123352921,1625002570.123353156
1625002571.123362801,1625002571.123363019
1625002572.122813061,1625002572.122813286
1625002573.123375861,1625002573.123376078
1625002574.123560921,1625002574.123561129
1625002575.123462021,1625002575.123462234
1625002576.123467421,1625002576.123467637
1625002577.123404961,1625002577.123405161
1625002578.123396601,1625002578.123396816
1625002579.123641081,1625002579.123641283
1625002580.124511261,1625002580.124511457
1625002581.124562521,1625002581.124562724
1625002582.123839981,1625002582.123840178
1625002583.124480061,1625002583.124480259
1625002584.124469621,1625002584.124469822
1625002585.124609281,1625002585.124609478
1625002586.124790501,1625002586.124790709
1625002587.124658061,1625002587.124658247
1625002588.125555121,1625002588.125555317
1625002589.124728621,1625002589.124728828
1625002590.125623441,1625002590.125623631
1625002591.125789581,1625002591.125789783
1625002592.125810601,1625002592.125810792
1625002593.125914861,1625002593.125915056
1625002594.126382281,1625002594.126382477
1625002595.125789021,1625002595.125789218
1625002596.125854261,1625002596.125854458
1625002597.125879621,1625002597.125879819
1625002598.125888361,1625002598.125888558
1625002599.125905821,1625002599.125906018
1625002600.125924201,1625002600.125924383
1625002601.125943801,1625002601.125943993
1625002602.125958221,1625002602.125958414
1625002603.125973581,1625002603.125973782
1625002604.125969801,1625002604.125969984
1625002605.126079321,1625002605.126079518
1625002606.126006821,1625002606.126007022
1625002607.126225581,1625002607.126225766
1625002608.126020581,1625002608.126020786
1625002609.126103281,1625002609.126103462
1625002610.126013641,1625002610.126013837
1625002611.126135661,1625002611.126135858
1625002612.126163961,1625002612.126164143
1625002613.126109521,1625002613.126109719
1625002614.126120781,1625002614.126120977
1625002615.125831981,1625002615.125832186
1625002616.126258021,1625002616.126258208
1625002617.126237981,1625002617.126238174
1625002618.126221561,1625002618.126221764
1625002619.126235041,1625002619.126235221
1625002620.126156081,1625002620.126156294
1625002621.126289961,1625002621.126290143
1625002622.126188721,1625002622.126188941
1625002623.126304221,1625002623.126304399
1625002624.126327901,1625002624.126328104
1625002625.126344301,1625002625.126344502
1625002626.126356021,1625002626.126356229
1625002627.126377781,1625002627.126377982
1625002628.126268601,1625002628.126268806
1625002629.126381941,1625002629.126382134
1625002630.126365201,1625002630.126365409
1625002631.125690261,1625002631.125690456
1625002632.126536901,1625002632.126537114
1625002633.126466781,1625002633.126466976
1625002634.126349741,1625002634.126349961
1625002635.126371681,1625002635.126371886
1625002636.126449921,1625002636.126450131
1625002637.126441361,1625002637.126441564
1625002638.125763541,1625002638.125763741
1625002639.126341241,1625002639.126341452
1625002640.126368481,1625002640.126368684
1625002641.126493641,1625002641.126493861
1625002642.126427601,1625002642.126427799
1625002643.126469201,1625002643.126469418
1625002644.126401001,1625002644.126401218
1625002645.126484961,1625002645.126485173
1625002646.126568561,1625002646.126568786
1625002647.126573881,1625002647.126574084
1625002648.126613441,1625002648.126613656
1625002649.126803161,1625002649.126803374
1625002650.127631061,1625002650.127631271
1625002651.128681161,1625002651.128681376
1625002652.128725201,1625002652.128725408
1625002653.128946441,1625002653.128946654
1625002654.128776281,1625002654.128776503
1625002655.128996641,1625002655.128996847
1625002656.128776541,1625002656.128776768
1625002657.128693501,1625002657.128693703
1625002658.128752181,1625002658.128752401
1625002659.128895441,1625002659.128895652
1625002660.128716481,1625002660.128716693
1625002661.128682181,1625002661.128682393
1625002662.128766041,1625002662.128766257
1625002663.128718801,1625002663.128719019
1625002664.128745581,1625002664.128745792
1625002665.128797361,1625002665.128797574
1625002666.129329541,1625002666.129329758
1625002667.128780081,1625002667.128780303
1625002668.128902681,1625002668.128902904
1625002669.128961121,1625002669.128961329
1625002670.128883901,1625002670.128884116
1625002671.128840581,1625002671.128840803
1625002672.128881121,1625002672.128881331
1625002673.128931221,1625002673.128931436
1625002674.129365521,1625002674.129365751
1625002675.129224741,1625002675.129224952
1625002676.128945361,1625002676.128945578
1625002677.129128261,1625002677.129128462
1625002678.128988221,1625002678.128988429
1625002679.129128801,1625002679.129129021
1625002680.129051621,1625002680.129051832
1625002681.129042821,1625002681.129043047
