t1,t2
1625673726.871768094,1625673726.871944789
1625673726.934850840,1625673726.935049510
1625673726.996382626,1625673726.996581023
1625673727.059339360,1625673727.059543046
1625673727.121652576,1625673727.121833411
1625673727.184963016,1625673727.185152063
1625673727.247701238,1625673727.247902678
1625673727.310325159,1625673727.310648866
1625673727.373411222,1625673727.373635815
1625673727.436739316,1625673727.436967676
1625673727.498760339,1625673727.498961689
1625673727.561690658,1625673727.561895229
1625673727.623716413,1625673727.623950113
1625673727.686415383,1625673727.686628883
1625673727.748587593,1625673727.748793731
1625673727.811683699,1625673727.811879640
1625673727.873779118,1625673727.873971585
1625673727.936670235,1625673727.936898648
1625673727.998891782,1625673727.999089468
1625673728.062374176,1625673728.062589371
1625673728.124795559,1625673728.125007610
1625673728.187665823,1625673728.187882459
1625673728.249715058,1625673728.249950220
1625673728.312674916,1625673728.312892344
1625673728.375431578,1625673728.375651855
1625673728.438860840,1625673728.439078410
1625673728.500739596,1625673728.500970159
1625673728.563687595,1625673728.563903551
1625673728.625697334,1625673728.625923539
1625673728.688465299,1625673728.688692011
1625673728.750023921,1625673728.750259284
1625673728.813646002,1625673728.813886865
1625673728.875746076,1625673728.876911893
1625673728.938680713,1625673728.938900060
1625673729.000310075,1625673729.000526901
1625673729.063367041,1625673729.063613416
1625673729.124994635,1625673729.126595396
1625673729.188723521,1625673729.188968604
1625673729.250649158,1625673729.250892775
1625673729.313332277,1625673729.313601148
1625673729.376731635,1625673729.376948980
1625673729.439744740,1625673729.439966679
1625673729.501802334,1625673729.502024560
1625673729.563994235,1625673729.564209948
1625673729.626775353,1625673729.627082899
1625673729.689523516,1625673729.689820833
1625673729.751393699,1625673729.751621568
1625673729.814702142,1625673729.814938011
1625673729.876673177,1625673729.876898886
1625673729.939524760,1625673729.940055425
1625673730.001304978,1625673730.001971770
1625673730.064961336,1625673730.065582460
1625673730.127732357,1625673730.128197151
1625673730.190747179,1625673730.190980259
1625673730.252545417,1625673730.252789983
1625673730.315317061,1625673730.315543503
1625673730.378431637,1625673730.378452934
1625673730.441698252,1625673730.441944399
1625673730.503672757,1625673730.503883760
1625673730.566656861,1625673730.566863956
1625673730.628660639,1625673730.628865703
1625673730.691399958,1625673730.691636710
1625673730.753450017,1625673730.753708594
1625673730.816662357,1625673730.816881134
1625673730.878713477,1625673730.878921074
1625673730.941574214,1625673730.941819888
1625673731.003422237,1625673731.003695679
1625673731.066088652,1625673731.066518804
1625673731.128674719,1625673731.128924140
1625673731.191950835,1625673731.192184145
1625673731.254661337,1625673731.254916545
1625673731.317555377,1625673731.317823293
1625673731.380576476,1625673731.380629016
1625673731.443375337,1625673731.443411946
1625673731.505850013,1625673731.506234449
1625673731.568816437,1625673731.569025110
1625673731.630795977,1625673731.631011330
1625673731.693577941,1625673731.693808571
1625673731.755349038,1625673731.755371641
1625673731.818304560,1625673731.818312803
1625673731.880681940,1625673731.880885094
1625673731.943576816,1625673731.943796355
1625673732.005628216,1625673732.005967154
1625673732.068558715,1625673732.068661260
1625673732.130089057,1625673732.130469893
1625673732.193778737,1625673732.194030603
1625673732.255585722,1625673732.255821149
1625673732.318594203,1625673732.318827545
1625673732.381656157,1625673732.381838259
1625673732.444840453,1625673732.444913409
1625673732.506296321,1625673732.506333838
1625673732.569683017,1625673732.569911329
1625673732.631699599,1625673732.631944634
1625673732.694608716,1625673732.694885024
1625673732.756652082,1625673732.756755430
1625673732.819338573,1625673732.819418944
1625673732.881880399,1625673732.882302368
1625673732.944581542,1625673732.945058511
1625673733.006679236,1625673733.006924434
1625673733.069069282,1625673733.069126366
1625673733.131593219,1625673733.131710220
1625673733.194335540,1625673733.194382993
1625673733.256847359,1625673733.257095830
1625673733.319654278,1625673733.319889248
1625673733.381601398,1625673733.381745081
1625673733.444575798,1625673733.444642593
1625673733.506046081,1625673733.506296669
1625673733.569383562,1625673733.569686336
1625673733.631597634,1625673733.631837089
1625673733.694719615,1625673733.695048856
1625673733.756763636,1625673733.756840800
1625673733.819515378,1625673733.819562845
1625673733.881935977,1625673733.882366804
1625673733.945905758,1625673733.946172973
1625673734.008700018,1625673734.008957828
1625673734.071783541,1625673734.071941718
1625673734.133723835,1625673734.133856120
1625673734.196587515,1625673734.196647863
1625673734.258344097,1625673734.258390811
1625673734.321583156,1625673734.321877075
1625673734.383568033,1625673734.383716200
1625673734.446612300,1625673734.446784319
1625673734.508644237,1625673734.508734933
1625673734.571433283,1625673734.571495424
1625673734.633871003,1625673734.634161411
1625673734.696019198,1625673734.696194720
1625673734.758651882,1625673734.758821046
1625673734.821581819,1625673734.821769515
1625673734.883462837,1625673734.883527781
1625673734.946359058,1625673734.946422055
1625673735.008625813,1625673735.008916731
1625673735.071654655,1625673735.071854963
1625673735.133642301,1625673735.133866251
1625673735.196813796,1625673735.197001303
1625673735.258161500,1625673735.258674542
1625673735.321610194,1625673735.321958671
1625673735.383646593,1625673735.384164378
1625673735.446656081,1625673735.446827495
1625673735.508774715,1625673735.508910982
1625673735.571426779,1625673735.571560263
1625673735.633683258,1625673735.633984367
1625673735.696586022,1625673735.696887401
1625673735.758827574,1625673735.759048092
1625673735.821401335,1625673735.821656441
1625673735.883448718,1625673735.883580702
1625673735.945987959,1625673735.946515506
1625673736.008622616,1625673736.008934870
1625673736.071638857,1625673736.071837013
1625673736.133777662,1625673736.133994956
1625673736.196626037,1625673736.196737188
1625673736.257934022,1625673736.258392296
1625673736.321706239,1625673736.322171880
