t1,t2
1625004136.245983401,1625004136.245983559
1625004137.246004801,1625004137.246004976
1625004138.246251181,1625004138.246251357
1625004139.245929841,1625004139.245930021
1625004140.245994061,1625004140.245994237
1625004141.246047641,1625004141.246047819
1625004142.245990721,1625004142.245990878
1625004143.246227221,1625004143.246227392
1625004144.246042201,1625004144.246042381
1625004145.246173101,1625004145.246173264
1625004146.246070081,1625004146.246070264
1625004147.246148821,1625004147.246148989
1625004148.246111621,1625004148.246111783
1625004149.246199681,1625004149.246199858
1625004150.246172641,1625004150.246172812
1625004151.246166601,1625004151.246166773
1625004152.246146121,1625004152.246146292
1625004153.246153081,1625004153.246153256
1625004154.246481281,1625004154.246481452
1625004155.245685601,1625004155.245685758
1625004156.246245221,1625004156.246245406
1625004157.246239521,1625004157.246239682
1625004158.246279521,1625004158.246279692
1625004159.246223941,1625004159.246224108
1625004160.246338021,1625004160.246338191
1625004161.246650201,1625004161.246650368
1625004162.247375821,1625004162.247375977
1625004163.246727261,1625004163.246727436
1625004164.247360261,1625004164.247360431
1625004165.247626141,1625004165.247626306
1625004166.248622381,1625004166.248622558
1625004167.248875561,1625004167.248875737
1625004168.248689381,1625004168.248689551
1625004169.248685881,1625004169.248686058
1625004170.249447401,1625004170.249447558
1625004171.249511761,1625004171.249511931
1625004172.248747341,1625004172.248747502
1625004173.248781761,1625004173.248781949
1625004174.249602041,1625004174.249602197
1625004175.250563001,1625004175.250563196
1625004176.250565201,1625004176.250565369
1625004177.250559601,1625004177.250559772
1625004178.250566821,1625004178.250567009
1625004179.249799861,1625004179.249800016
1625004180.250210901,1625004180.250211083
1625004181.250617081,1625004181.250617248
1625004182.251614681,1625004182.251614866
1625004183.251694641,1625004183.251694802
1625004184.251828821,1625004184.251829001
1625004185.252584841,1625004185.252585003
1625004186.252692561,1625004186.252692738
1625004187.252741361,1625004187.252741539
1625004188.252755181,1625004188.252755359
1625004189.252775521,1625004189.252775686
1625004190.253219601,1625004190.253219767
1625004191.252824441,1625004191.252824624
1625004192.253079521,1625004192.253079699
1625004193.252789541,1625004193.252789727
1625004194.252905341,1625004194.252905512
1625004195.252917881,1625004195.252918064
1625004196.252852061,1625004196.252852234
1625004197.252902781,1625004197.252902959
1625004198.252899301,1625004198.252899481
1625004199.252908081,1625004199.252908246
1625004200.252918001,1625004200.252918192
1625004201.252959501,1625004201.252959664
1625004202.252898461,1625004202.252898652
1625004203.252957101,1625004203.252957262
1625004204.252993821,1625004204.252994001
1625004205.253032781,1625004205.253032943
1625004206.253345861,1625004206.253346046
1625004207.253034081,1625004207.253034238
1625004208.253031061,1625004208.253031233
1625004209.253063341,1625004209.253063496
1625004210.253092721,1625004210.253092894
1625004211.253099641,1625004211.253099793
1625004212.253064861,1625004212.253065039
1625004213.253138121,1625004213.253138276
1625004214.253113341,1625004214.253113504
1625004215.253165061,1625004215.253165222
1625004216.253430761,1625004216.253430912
1625004217.253364401,1625004217.253364579
1625004218.253152481,1625004218.253152626
1625004219.253224221,1625004219.253224387
1625004220.253356181,1625004220.253356321
1625004221.253257961,1625004221.253258121
